iter	Passed	Remaining
650	3637	273
651	3641	268
652	3644	262
653	3649	256
654	3654	251
655	3661	245
656	3666	239
657	3670	234
658	3674	228
659	3678	222
660	3686	217
661	3691	211
662	3695	206
663	3699	200
664	3704	194
665	3710	189
666	3716	183
667	3720	178
668	3725	172
669	3733	167
670	3739	161
671	3742	155
672	3746	150
673	3752	144
674	3758	139
675	3762	133
676	3769	128
677	3775	122
678	3781	116
679	3785	111
680	3792	105
681	3800	100
682	3804	94
683	3811	89
684	3818	83
685	3821	77
686	3825	72
687	3831	66
688	3835	61
689	3839	55
690	3844	50
691	3849	44
692	3854	38
693	3858	33
694	3862	27
695	3866	22
696	3872	16
697	3875	11
698	3882	5
699	3885	0
